,mol_index,v_zi,v_zf
4175,610746.0,157.76660414102423,160.35945062303074
4176,611026.0,138.36946506850754,137.99311904733614
4177,611064.0,107.72444749731514,103.26571258932196
4178,611065.0,91.22031941019954,96.5002133230362
4179,611075.0,61.91960762181042,53.440646496328206
4180,611326.0,137.24691726437408,137.27858450883377
4181,611469.0,90.5699863112926,101.06465165781921
4182,611704.0,132.6128586751174,129.38204461865942
4183,611731.0,49.545153797325014,49.54524285067319
4184,611847.0,68.59893328398526,75.36291476390743
4185,611943.0,122.85204009834224,118.5372585265997
4186,611993.0,143.94939313512316,147.36670715635128
4187,612060.0,139.64894432558538,136.7835100696364
4188,612156.0,161.4752521724195,158.22174920093087
4189,612657.0,99.89820915175133,104.6406132581396
4190,612721.0,144.01519666537894,136.84356395136112
4191,612823.0,94.05074338233582,83.94963054978132
4192,613010.0,57.77513508868195,65.7420850588027
4193,613158.0,119.37175527247724,115.236288848013
4194,613257.0,123.20732951255172,131.11730958758895
4195,613439.0,147.80241345048165,151.2655205117876
4196,613501.0,134.97452459515554,138.52794258810286
4197,613532.0,160.3185009372882,165.77609369116217
4198,613813.0,128.29673532839945,121.10783064569058
4199,613906.0,131.2833932817549,131.27078455890444
4200,613963.0,91.96192190619335,102.42566752592535
4201,613997.0,131.51657668122652,131.52067116551984
4202,614090.0,136.22470968202265,136.23189176726208
4203,614110.0,169.4780214742961,169.73819361624135
4204,614126.0,135.91858405114604,128.22503520541315
4205,614127.0,136.04769604720286,136.0717259870822
4206,614242.0,149.7369521058636,142.89924551796307
4207,614440.0,68.88773518139205,82.34247760605636
4208,614528.0,79.136128408223,65.07031776435424
4209,614532.0,145.0099823218634,141.58446687667092
4210,614886.0,136.41553519553108,132.53820999092017
4211,614889.0,112.69586970947009,116.93736690897342
4212,614966.0,115.01357236347283,110.37228539224306
4213,615011.0,118.92702394647497,118.19810546800974
4214,615211.0,101.31853511425096,101.33448275583976
4215,615264.0,118.40377319527606,114.19556030705795
4216,615301.0,164.67537933740948,167.6168696771108
4217,615480.0,115.25617008855887,110.60095316886914
4218,615542.0,143.02512968922986,142.98420920448956
4219,616444.0,133.44785179118966,133.43849416236515
4220,616631.0,111.36554303520641,106.59896267075813
4221,616925.0,122.83288908012712,118.8089173239332
4222,617126.0,118.349548127759,113.85421694172297
4223,617697.0,107.50417336886004,98.2497626338621
4224,618006.0,130.7487816654759,131.63741452644572
4225,618030.0,119.48360364478555,118.94252642961939
4226,618145.0,164.173108238226,164.17380081831573
4227,618200.0,130.2865167819018,126.14585313669676
4228,618253.0,145.7019904240661,142.3216536945159
4229,618425.0,154.0856325981969,153.34595762136155
